Frame,Shot_Type
32,Drop Shot
33,Drop Shot
34,Drop Shot
35,Drop Shot
36,Drop Shot
37,Drop Shot
38,Drop Shot
39,Drop Shot
40,Drop Shot
41,Drop Shot
42,Drop Shot
43,Drop Shot
44,Drop Shot
45,Drop Shot
46,Drop Shot
47,Drop Shot
48,Drop Shot
49,Drop Shot
50,Drop Shot
51,Drop Shot
52,Drop Shot
53,Drop Shot
54,Drop Shot
85,Net Shot
86,Net Shot
87,Net Shot
88,Net Shot
89,Drop Shot
89,Net Shot
89,Drop Shot
90,Net Shot
90,Drop Shot
91,Net Shot
91,Drop Shot
92,Net Shot
92,Drop Shot
93,Net Shot
94,Net Shot
95,Net Shot
96,Net Shot
97,Net Shot
98,Net Shot
99,Net Shot
100,Net Shot
101,Net Shot
102,Net Shot
103,Net Shot
104,Net Shot
112,Net Shot
113,Net Shot
114,Net Shot
140,Drop Shot
141,Drop Shot
142,Drop Shot
143,Drop Shot
144,Drop Shot
145,Drop Shot
146,Drop Shot
147,Drop Shot
148,Drop Shot
149,Drop Shot
150,Drop Shot
151,Drop Shot
152,Drop Shot
153,Drop Shot
154,Drop Shot
155,Drop Shot
156,Drop Shot
157,Drop Shot
158,Drop Shot
160,Drop Shot
161,Drop Shot
162,Drop Shot
164,Drop Shot
170,Drop Shot
171,Drop Shot
175,Net Shot
176,Net Shot
177,Net Shot
187,Net Shot
188,Net Shot
189,Net Shot
190,Net Shot
191,Net Shot
192,Net Shot
193,Net Shot
194,Net Shot
195,Net Shot
196,Net Shot
197,Net Shot
198,Net Shot
199,Net Shot
200,Net Shot
201,Net Shot
202,Net Shot
203,Net Shot
204,Net Shot
205,Net Shot
206,Net Shot
207,Net Shot
208,Net Shot
209,Net Shot
210,Net Shot
211,Net Shot
212,Net Shot
213,Net Shot
214,Net Shot
215,Net Shot
216,Net Shot
217,Net Shot
218,Net Shot
219,Net Shot
220,Net Shot
221,Net Shot
222,Net Shot
223,Net Shot
225,Net Shot
226,Net Shot
230,Net Shot
231,Net Shot
232,Net Shot
233,Net Shot
234,Net Shot
246,Net Shot
247,Net Shot
248,Net Shot
251,Net Shot
252,Net Shot
253,Net Shot
254,Net Shot
255,Net Shot
280,Net Shot
281,Net Shot
282,Net Shot
283,Net Shot
284,Net Shot
285,Net Shot
286,Net Shot
287,Net Shot
288,Net Shot
289,Net Shot
290,Net Shot
291,Net Shot
292,Drop Shot
293,Drop Shot
294,Drop Shot
295,Drop Shot
295,Net Shot
296,Drop Shot
296,Net Shot
