Frame,Pose
65,ForehandLift
66,ForehandLift
67,ForehandLift
68,ForehandLift
69,ForehandLift
228,BackhandLift
229,BackhandLift
232,BackhandLift
233,BackhandLift
234,BackhandLift
235,ForehandLift
236,ForehandLift
239,BackhandLift
253,BackhandLift
254,BackhandLift
255,BackhandLift
256,BackhandLift
257,BackhandLift
258,BackhandLift
259,BackhandLift
260,BackhandLift
267,ForehandLift
268,ForehandLift
269,ForehandLift
270,ForehandLift
271,ForehandLift
272,ForehandLift
273,ForehandLift
274,ForehandLift
275,ForehandLift
276,ForehandLift
277,ForehandLift
278,ForehandLift
279,ForehandLift
280,ForehandLift
281,ForehandLift
315,ForehandLift
316,ForehandLift
317,ForehandLift
318,ForehandLift
319,ForehandLift
320,ForehandLift
321,ForehandLift
322,ForehandLift
323,ForehandLift
324,ForehandLift
325,ForehandLift
326,ForehandLift
